school,college,department,track,deadline,quota,assessment_weights,other_req,docs_required,interview_required,written_exam_required,link_apply,note,,,,,,,,,,,,,,,,
國立政治大學,文學院,中國文學系,,2025/10/14,9,"1. 書審50%
2. 面試50%","一、須符合下列三項資格之一：
1. 國內大學學士班本科系或相關科系(曾修中國文學課程 24 學分以上)畢業(含
應屆)生，在校學業成績總平均名次在全班前 50%以內，操行成績總平均 80 分
以上或相當成績之等第。
2. 國內研究所畢業(含應屆)生。
3. 境外大學學士班或研究所畢業(含應屆)生，經報考系所主管核准報考者。
二、不受理同等學力。","1. 自傳(一千字以內)。
2. 學士班學業成績總平均排名證明及操行成績證明(至少一份正本)。
3. 學士班歷年成績單總表(至少一份正本)。
4. 研究計畫與學術代表作：研究計畫之題目、內容,不得與學術代表作及
已獲補助之研究計畫相同。
5. 其他有利審查資料：如已獲補助之研究計畫及其證明、參與研究計畫證
明、參加學術或藝文活動證明、研究報告或成果等,足以顯示具學術研
究潛力之資料。","【參加資格】依資料審查加權後之成績擇優選取至多 20 名參加面試。
【面試日期】11 月 8 日(星期六),上午 9:00 起。
【注意事項】面試名單及相關資訊於 11 月 4 日公布於本系網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","一、考生參加第二階段面試時,得攜帶報名時繳交之審查資料應試。
二、未獲錄取之考生,請於錄取名單公告後一個月內,至本系領回報考資料,逾期未領回,視同放棄該資料,將由本系全權處理。",,,,,,,,,,,,,,,,
國立政治大學,文學院,歷史學系,,2025/10/14,7,"1. 書審40%
2. 面試60%",國內外大學學士班或研究所畢業（含應屆）；不受理同等學力。,"1. 自傳。
2. 學業成績總平均排名證明。
3. 歷年成績單總表(需加蓋學校校印或教務處章戳)。
4. 研究計畫。
5. 其他有利審查資料：如已出版之正式學術論文、未出版專題報告、獲補
助研究計畫之證明、歷史相關競賽之得獎證明。
6. 教師推薦函 1 份。","【參加資格】全體考生
【面試日期】11 月 10 日(星期一)(詳細時間公布於本系網頁)
【注意事項】面試相關資訊於面試前 5 日公布於本系網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","考試任何一項或科目零分者,不予錄取。",,,,,,,,,,,,,,,,
國立政治大學,文學院,哲學系,,2025/10/14,6,"1. 書審40%
2. 面試60%",,"1. 自傳(一千字以內)。
2. 學歷證明文件(畢業生請附畢業證書影本,應屆畢業生請附在學證明)。
3. 歷年成績單總表(需加蓋校印或教務處章戳)。
4. 研究計畫(需包含研究主題、研究動機與目的、文獻探討、研究方法、
參考文獻)。
5. 其他有利審查資料：如研究報告或學術作品等。","【參加資格】全體考生。
【面試日期】11 月 12 日(星期三),下午 1:30 起。
【注意事項】面試相關資訊於面試前 5 日公布於本系網頁。",,https://www.nccu.edu.tw/p/406-1000-20476，r123.php?Lang=zh-tw,"考試任何一項或科目零分者,不予錄取。",,,,,,,,,,,,,,,,
國立政治大學,文學院,圖書資訊與檔案學研究所,圖書資訊學組,2025/10/14,8,"1. 書審50%
2. 面試50%",,"1. 自傳(含生涯規劃及學習計畫)。
2. 研究計畫或讀書計畫。
3. 歷年成績單總表(大學應屆畢業生需加附學業成績總平均排名證明)。
4. 其他有利審查資料：例如專題研究成果、個人作品、小論文、設計系統、設計網頁、社團參與等。","【參加資格】依資料審查加權後之成績擇優選取至多 20 名參加面試。
【面試日期】11 月 10 日(星期一)(詳細時間公布於本所網頁)
【注意事項】面試名單及相關資訊於 11 月 6 日公布於本所網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","考試任何一項或科目零分者,不予錄取。",,,,,,,,,,,,,,,,
國立政治大學,文學院,圖書資訊與檔案學研究所,檔案學組,2025/10/14,4,"1. 書審50%
2. 面試50%",,"1. 自傳(含生涯規劃及學習計畫)。
2. 研究計畫或讀書計畫。
3. 歷年成績單總表(大學應屆畢業生需加附學業成績總平均排名證明)。
4. 其他有利審查資料：例如專題研究成果、個人作品、小論文、設計系統、設計網頁、社團參與等。","【參加資格】依資料審查加權後之成績擇優選取至多 10 名參加面試。
【面試日期】11 月 10 日(星期一)(詳細時間公布於本所網頁)
【注意事項】面試名單及相關資訊於 11 月 6 日公布於本所網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","考試任何一項或科目零分者,不予錄取。",,,,,,,,,,,,,,,,
國立政治大學,文學院,宗教研究所,,2025/10/14,3,"1. 書審60%
2. 面試40%","須符合下列四項資格之一：
一、國內大學學士班本科系或相關科系畢業(含應屆)生，在校學業成績總平均名次
在全班前 50%以內。
二、國內研究所畢業(含應屆)生。
三、境外大學學士班或研究所畢業(含應屆)生，經報考系所主管核准報考者。
四、符合同等學力者。","1. 自傳(內含履歷表)。
2. 學歷證明文件(畢業生請附畢業證書影本，應屆畢業生免繳，符合同等
學力者附在校學業成績證明或證明文件)。
3. 研究計畫。
4. 成績單總表暨排名證明(需加蓋學校校印或教務處章戳)。
5. 其他有利審查資料：如研究報告、學術作品等。
6. 推薦信 2 份。","【參加資格】全體考生。
【面試日期】11 月 10 日(星期一),上午 10:00 起。
【注意事項】1.面試相關資訊於面試前 7 日公布於本所網頁。

2.面試當天考生須攜帶成績單總表暨排名證明正本資料,供查
驗;另,考生若有相關外語能力證明文件者,亦可於當日提",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,,,,
國立政治大學,文學院,台灣史研究所,,2025/10/14,7,"1. 書審50%
2. 面試50%",不受理同等學力。,"1. 自傳。
2. 歷年成績單總表(含學業成績總平均排名證明)。持研究所學歷者，可免附排名證明，惟需同時附大學及研究所成績單總表。
3. 研究計畫。
4. 其他有利審查資料：如參與研究計畫證明、參加學術研習活動證明、研
究報告或學術論文等，足以顯示具學術研究潛力之資料。","【參加資格】全體考生。
【面試日期】11 月 7 日(星期五)(詳細時間公布於本所網頁)
【注意事項】面試相關資訊於面試前 3 日公布於本所網頁,不另行通知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,,,,
國立政治大學,文學院,台灣文學研究所,,2025/10/14,5,"1. 書審50%
2. 面試50%","一、須符合下列三項資格之一：
1. 國內大學學士班畢業(含應屆)生，且在校學業成績總平均名次在全班前 40%以
內，或曾執行國科會大專學生研究計畫者。
2. 國內研究所畢業(含應屆)生。
3. 境外大學學士班或研究所畢業(含應屆)生，經報考系所主管核准報考者。
二、不受理同等學力。","1. 自傳。
2. 學業成績總平均排名證明。
3. 歷年成績單總表。
4. 研究計畫。
5. 其他有利審查資料：若有參與研究計畫證明、參加學術研習活動證明、研究報告或學術論文等，足以顯示具學術研究潛力之資料，可一併附上；若無則免。","【參加資格】全體考生。
【面試日期】11 月 8 日(星期六)(詳細時間公布於本所網頁)
【注意事項】面試相關資訊於面試前 3 日公布於本所網頁。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","考試任何一項或科目零分者,不予錄取。",,,,,,,,,,,,,,,,
國立政治大學,文學院,華語文教學碩士學位學程,,2025/10/14,9,"1. 書審50%
2. 面試50%",國內外大學學士班或研究所畢業(含應屆)；不受理同等學力。,"1. 自傳(中文撰寫)。
2. 歷年成績單總表。
3. 研究計畫(中文撰寫，含未來研究方向)。
4. 其他有利審查資料：如語文檢定證明、學術著作、專題報告、國際實習經驗等。無則免附。","【參加資格】依資料審查加權後之成績擇優選取至多 24 名參加面試。
【面試日期】11 月 8 日(星期六)(詳細時間公布於本學程網頁)
【注意事項】面試名單及相關資訊於 11 月 4 日下午 5:00 公告於本學程網頁，不另行通知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,,,,
國立政治大學,教育學院,教育學系,,2025/10/14,5,"1. 書審40%
2. 面試60%",不受理同等學力。,"1. 考生基本資料表(請至本系網頁下載使用)。
2. 學業成績單。
3. 其他有利審查資料：如教師證書、語文檢定證明、著作發表、學術成就、大專生參加國科會專題研究獲選案、擔任教授的助理、特殊專長能力、領導經驗、資訊能力、作品集、志工經驗、教學實務經驗、或其他足以代表傑出表現的各項得獎證明等，無則免附。","【參加資格】依資料審查加權後之成績擇優選取至多 20 名參加面試。
【面試日期】11 月 7 日(星期五)(詳細時間公布於本系網頁)
【注意事項】面試名單及相關資訊於 11 月 4 日公布於本系網頁,考生請自行上網查詢,不另行通知。",,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw","考試任何一項或科目零分者,不予錄取。",,,,,,,,,,,,,,,,
