school,college,department,track,deadline,quota,assessment_weights,other_req,docs_required,interview_required,written_exam_required,link_apply,note,,,,,,,,,,,,,
國立政治大學,外國語文學院,中國文學系,,2025/10/14,9,,,"1. 自傳(一千字以內)。
2. 學士班學業成績總平均排名證明及操行成績證明(至少一份正本)。
3. 學士班歷年成績單總表(至少一份正本)。
4. 研究計畫與學術代表作：研究計畫之題目、內容,不得與學術代表作及
已獲補助之研究計畫相同。
5. 其他有利審查資料：如已獲補助之研究計畫及其證明、參與研究計畫證
明、參加學術或藝文活動證明、研究報告或成果等,足以顯示具學術研
究潛力之資料。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,外國語文學院,歷史學系,,2025/10/14,7,,,"1. 自傳。
2. 學業成績總平均排名證明。
3. 歷年成績單總表(需加蓋學校校印或教務處章戳)。
4. 研究計畫。
5. 其他有利審查資料：如已出版之正式學術論文、未出版專題報告、獲補
助研究計畫之證明、歷史相關競賽之得獎證明。
6. 教師推薦函 1 份。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,外國語文學院,哲學系,,2025/10/14,6,,,"1. 自傳(一千字以內)。
2. 學歷證明文件(畢業生請附畢業證書影本,應屆畢業生請附在學證明)。
3. 歷年成績單總表(需加蓋校印或教務處章戳)。
4. 研究計畫(需包含研究主題、研究動機與目的、文獻探討、研究方法、
參考文獻)。
5. 其他有利審查資料：如研究報告或學術作品等。",,,https://www.nccu.edu.tw/p/406-1000-20476，r123.php?Lang=zh-tw,,,,,,,,,,,,,,
國立政治大學,外國語文學院,圖書資訊與檔案學研究所,圖書資訊學組,2025/10/14,8,,,"1. 自傳(含生涯規劃及學習計畫)。
2. 研究計畫或讀書計畫。
3. 歷年成績單總表(大學應屆畢業生需加附學業成績總平均排名證明)。
4. 其他有利審查資料：例如專題研究成果、個人作品、小論文、設計系統、設計網頁、社團參與等。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,外國語文學院,圖書資訊與檔案學研究所,檔案學組,2025/10/14,4,,,"1. 自傳(含生涯規劃及學習計畫)。
2. 研究計畫或讀書計畫。
3. 歷年成績單總表(大學應屆畢業生需加附學業成績總平均排名證明)。
4. 其他有利審查資料：例如專題研究成果、個人作品、小論文、設計系統、設計網頁、社團參與等。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,外國語文學院,宗教研究所,,2025/10/14,3,,,"1. 自傳(內含履歷表)。
2. 學歷證明文件(畢業生請附畢業證書影本，應屆畢業生免繳，符合同等
學力者附在校學業成績證明或證明文件)。
3. 研究計畫。
4. 成績單總表暨排名證明(需加蓋學校校印或教務處章戳)。
5. 其他有利審查資料：如研究報告、學術作品等。
6. 推薦信 2 份。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,外國語文學院,台灣史研究所,,2025/10/14,7,,,"1. 自傳。
2. 歷年成績單總表(含學業成績總平均排名證明)。持研究所學歷者，可免附排名證明，惟需同時附大學及研究所成績單總表。
3. 研究計畫。
4. 其他有利審查資料：如參與研究計畫證明、參加學術研習活動證明、研
究報告或學術論文等，足以顯示具學術研究潛力之資料。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,外國語文學院,台灣文學研究所,,2025/10/14,5,,,"1. 自傳。
2. 學業成績總平均排名證明。
3. 歷年成績單總表。
4. 研究計畫。
5. 其他有利審查資料：若有參與研究計畫證明、參加學術研習活動證明、研究報告或學術論文等，足以顯示具學術研究潛力之資料，可一併附上；若無則免。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,外國語文學院,華語文教學碩士學位學程,,2025/10/14,9,,,"1. 自傳(中文撰寫)。
2. 歷年成績單總表。
3. 研究計畫(中文撰寫，含未來研究方向)。
4. 其他有利審查資料：如語文檢定證明、學術著作、專題報告、國際實習經驗等。無則免附。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
國立政治大學,教育學院,教育學系,,2025/10/14,5,,,"1. 考生基本資料表(請至本系網頁下載使用)。
2. 學業成績單。
3. 其他有利審查資料：如教師證書、語文檢定證明、著作發表、學術成就、大專生參加國科會專題研究獲選案、擔任教授的助理、特殊專長能力、領導經驗、資訊能力、作品集、志工經驗、教學實務經驗、或其他足以代表傑出表現的各項得獎證明等，無則免附。",,,"https://www.nccu.edu.tw/p/406-1000-20476,r123.php?Lang=zh-tw",,,,,,,,,,,,,,
